Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Michael Carter-Williams (11695404),Michael Carter-Williams,11695404,PG/G/UTIL,3100,HOU@CLE 11/24/2018 07:30PM ET,HOU,10.53
SG/SF,Kyle Korver (11695407),Kyle Korver,11695407,SG/SF/F/G/UTIL,3100,HOU@CLE 11/24/2018 07:30PM ET,CLE,9.46
C,Jakob Poeltl (11695412),Jakob Poeltl,11695412,C/UTIL,3100,SA@MIL 11/24/2018 08:30PM ET,SA,10.55
C,Drew Eubanks (11695414),Drew Eubanks,11695414,C/UTIL,3100,SA@MIL 11/24/2018 08:30PM ET,SA,2.75
C,John Henson (11695416),John Henson,11695416,C/UTIL,3100,SA@MIL 11/24/2018 08:30PM ET,MIL,16.02
SG/SF,Tony Snell (11695418),Tony Snell,11695418,SG/SF/F/G/UTIL,3100,SA@MIL 11/24/2018 08:30PM ET,MIL,11.36
SF/PF,Darius Miller (11695423),Darius Miller,11695423,SF/PF/F/UTIL,3100,NO@WAS 11/24/2018 08:00PM ET,NO,10.9
PG/SG,Ian Clark (11695427),Ian Clark,11695427,PG/SG/G/UTIL,3100,NO@WAS 11/24/2018 08:00PM ET,NO,9.54
PF/C,Jason Smith (11695448),Jason Smith,11695448,PF/C/F/UTIL,3100,NO@WAS 11/24/2018 08:00PM ET,WAS,10.48
C,Ian Mahinmi (11695452),Ian Mahinmi,11695452,C/UTIL,3100,NO@WAS 11/24/2018 08:00PM ET,WAS,11.46
PF,Cheick Diallo (11695454),Cheick Diallo,11695454,PF/F/UTIL,3100,NO@WAS 11/24/2018 08:00PM ET,NO,11.85
PG/SG,Cameron Payne (11695431),Cameron Payne,11695431,PG/SG/G/UTIL,3100,CHI@MIN 11/24/2018 08:00PM ET,CHI,15.10
SG,Chandler Hutchison (11695435),Chandler Hutchison,11695435,SG/G/UTIL,3100,CHI@MIN 11/24/2018 08:00PM ET,CHI,12.5
PF,Maxi Kleber (11695438),Maxi Kleber,11695438,PF/F/UTIL,3100,BOS@DAL 11/24/2018 08:30PM ET,DAL,15.68
PG/SG,Raymond Felton (11695441),Raymond Felton,11695441,PG/SG/G/UTIL,3100,DEN@OKC 11/24/2018 08:00PM ET,OKC,11.07
SG,Malik Beasley (11695445),Malik Beasley,11695445,SG/G/UTIL,3100,DEN@OKC 11/24/2018 08:00PM ET,DEN,12.10
PG/SG,Brandon Knight (11695457),Brandon Knight,11695457,PG/SG/G/UTIL,3000,HOU@CLE 11/24/2018 07:30PM ET,HOU,0
SF,Vincent Edwards (11695461),Vincent Edwards,11695461,SF/F/UTIL,3000,HOU@CLE 11/24/2018 07:30PM ET,HOU,4.75
PF/C,Marquese Chriss (11695464),Marquese Chriss,11695464,PF/C/F/UTIL,3000,HOU@CLE 11/24/2018 07:30PM ET,HOU,3.5
C,Zhou Qi (11695468),Zhou Qi,11695468,C/UTIL,3000,HOU@CLE 11/24/2018 07:30PM ET,HOU,2
PF/C,Channing Frye (11695470),Channing Frye,11695470,PF/C/F/UTIL,3000,HOU@CLE 11/24/2018 07:30PM ET,CLE,7.92
PF,Billy Preston (11695474),Billy Preston,11695474,PF/F/UTIL,3000,HOU@CLE 11/24/2018 07:30PM ET,CLE,0
PF,Chimezie Metu (11695477),Chimezie Metu,11695477,PF/F/UTIL,3000,SA@MIL 11/24/2018 08:30PM ET,SA,4.62
PG,Dejounte Murray (11695480),Dejounte Murray,11695480,PG/G/UTIL,3000,SA@MIL 11/24/2018 08:30PM ET,SA,0
SG,Lonnie Walker IV (11695483),Lonnie Walker IV,11695483,SG/G/UTIL,3000,SA@MIL 11/24/2018 08:30PM ET,SA,0
SF,Quincy Pondexter (11695486),Quincy Pondexter,11695486,SF/F/UTIL,3000,SA@MIL 11/24/2018 08:30PM ET,SA,4.89
PG/SG,Matthew Dellavedova (11695489),Matthew Dellavedova,11695489,PG/SG/G/UTIL,3000,SA@MIL 11/24/2018 08:30PM ET,MIL,5.89
SG,Sterling Brown (11695493),Sterling Brown,11695493,SG/G/UTIL,3000,SA@MIL 11/24/2018 08:30PM ET,MIL,5.62
SG,Jodie Meeks (11695496),Jodie Meeks,11695496,SG/G/UTIL,3000,SA@MIL 11/24/2018 08:30PM ET,MIL,0
PG,Trevon Duval (11695499),Trevon Duval,11695499,PG/G/UTIL,3000,SA@MIL 11/24/2018 08:30PM ET,MIL,0
SG,Donte DiVincenzo (11695502),Donte DiVincenzo,11695502,SG/G/UTIL,3000,SA@MIL 11/24/2018 08:30PM ET,MIL,13.45
PF/C,Thon Maker (11695505),Thon Maker,11695505,PF/C/F/UTIL,3000,SA@MIL 11/24/2018 08:30PM ET,MIL,12.22
SG,Jaylen Morris (11695509),Jaylen Morris,11695509,SG/G/UTIL,3000,SA@MIL 11/24/2018 08:30PM ET,MIL,6.5
PF,D.J. Wilson (11695512),D.J. Wilson,11695512,PF/F/UTIL,3000,SA@MIL 11/24/2018 08:30PM ET,MIL,0
C,Christian Wood (11695515),Christian Wood,11695515,C/UTIL,3000,SA@MIL 11/24/2018 08:30PM ET,MIL,7.4
PG/SG,Jordan McRae (11695517),Jordan McRae,11695517,PG/SG/G/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,WAS,4
SG,Devin Robinson (11695521),Devin Robinson,11695521,SG/G/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,WAS,0
SF,Troy Brown (11695524),Troy Brown,11695524,SF/F/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,WAS,5.19
PG/SG,Tim Frazier (11695527),Tim Frazier,11695527,PG/SG/G/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,NO,7.89
SF/PF,Solomon Hill (11695531),Solomon Hill,11695531,SF/PF/F/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,NO,10.16
C,Jahlil Okafor (11695535),Jahlil Okafor,11695535,C/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,NO,6.38
PG,Frank Jackson (11695537),Frank Jackson,11695537,PG/G/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,NO,6.56
SF,Kenrich Williams (11695540),Kenrich Williams,11695540,SF/F/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,NO,2.25
PG,Trevon Bluiett (11695543),Trevon Bluiett,11695543,PG/G/UTIL,3000,NO@WAS 11/24/2018 08:00PM ET,NO,0
PG/SG,Jerryd Bayless (11695546),Jerryd Bayless,11695546,PG/SG/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,0
SG/SF,C.J. Williams (11695550),C.J. Williams,11695550,SG/SF/F/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,3.5
SG/SF,James Nunnally (11695555),James Nunnally,11695555,SG/SF/F/G/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,4.46
SF/PF,Luol Deng (11695560),Luol Deng,11695560,SF/PF/F/UTIL,3000,CHI@MIN 11/24/2018 08:00PM ET,MIN,9.5
