Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
C,Tony Bradley (11615813),Tony Bradley,11615813,C/UTIL,3000,UTA@MEM 11/12/2018 08:00PM ET,UTA,0,0
PG,Trevon Bluiett (11615829),Trevon Bluiett,11615829,PG/G/UTIL,3000,NO@TOR 11/12/2018 07:30PM ET,NO,0,0
PG/SG,Jerryd Bayless (11615847),Jerryd Bayless,11615847,PG/SG/G/UTIL,3000,PHI@MIA 11/12/2018 07:30PM ET,PHI,0,0
PG,Shake Milton (11615854),Shake Milton,11615854,PG/G/UTIL,3000,PHI@MIA 11/12/2018 07:30PM ET,PHI,0,0
SF,Zhaire Smith (11615857),Zhaire Smith,11615857,SF/F/UTIL,3000,PHI@MIA 11/12/2018 07:30PM ET,PHI,0,0
PG,Demetrius Jackson (11615863),Demetrius Jackson,11615863,PG/G/UTIL,3000,PHI@MIA 11/12/2018 07:30PM ET,PHI,0,0
PF,Yante Maten (11615869),Yante Maten,11615869,PF/F/UTIL,3000,PHI@MIA 11/12/2018 07:30PM ET,MIA,0,0
C,Tyler Davis (11615878),Tyler Davis,11615878,C/UTIL,3000,PHO@OKC 11/12/2018 08:00PM ET,OKC,0,0
SF,George King (11615892),George King,11615892,SF/F/UTIL,3000,PHO@OKC 11/12/2018 08:00PM ET,PHO,0,0
SG,Lonnie Walker IV (11615898),Lonnie Walker IV,11615898,SG/G/UTIL,3000,SA@SAC 11/12/2018 10:00PM ET,SA,0,0
PG,Dejounte Murray (11615906),Dejounte Murray,11615906,PG/G/UTIL,3000,SA@SAC 11/12/2018 10:00PM ET,SA,0,0
PF/C,Zach Randolph (11615913),Zach Randolph,11615913,PF/C/F/UTIL,3000,SA@SAC 11/12/2018 10:00PM ET,SAC,0,0
SF,Wenyen Gabriel (11615917),Wenyen Gabriel,11615917,SF/F/UTIL,3000,SA@SAC 11/12/2018 10:00PM ET,SAC,0,0
SF,Melvin Frazier (11615728),Melvin Frazier,11615728,SF/F/UTIL,3000,ORL@WAS 11/12/2018 07:00PM ET,ORL,-0.25,-0.008333333
