Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,PPD
PG/SG,Zach LaVine (11605650),Zach LaVine,11605650,PG/SG/G/UTIL,8100,CLE@CHI 11/10/2018 08:00PM ET,CHI,42.04,0.519012346
C,DeAndre Jordan (11605682),DeAndre Jordan,11605682,C/UTIL,7200,OKC@DAL 11/10/2018 09:00PM ET,DAL,37.3,0.518055556
PG/SG,Devin Booker (11605640),Devin Booker,11605640,PG/SG/G/UTIL,8300,PHO@NO 11/10/2018 07:00PM ET,PHO,42.41,0.510963855
SG/SF,Kelly Oubre Jr. (11605897),Kelly Oubre Jr.,11605897,SG/SF/F/G/UTIL,4500,WAS@MIA 11/10/2018 08:00PM ET,WAS,22.98,0.510666667
C,Hassan Whiteside (11605644),Hassan Whiteside,11605644,C/UTIL,8200,WAS@MIA 11/10/2018 08:00PM ET,MIA,41.82,0.51
C,Willie Cauley-Stein (11605707),Willie Cauley-Stein,11605707,C/UTIL,6600,LAL@SAC 11/10/2018 10:00PM ET,SAC,33.52,0.507878788
PG/SG,Lance Stephenson (11606096),Lance Stephenson,11606096,PG/SG/G/UTIL,3500,LAL@SAC 11/10/2018 10:00PM ET,LAL,17.68,0.505142857
SG/SF,DeMar DeRozan (11605619),DeMar DeRozan,11605619,SG/SF/F/G/UTIL,9400,HOU@SA 11/10/2018 08:30PM ET,SA,47.3,0.503191489
SF,Caris LeVert (11605687),Caris LeVert,11605687,SF/F/UTIL,7000,BKN@GS 11/10/2018 08:30PM ET,BKN,35.1,0.501428571
SF/PF,Robert Covington (11605779),Robert Covington,11605779,SF/PF/F/UTIL,5400,PHI@MEM 11/10/2018 08:00PM ET,PHI,27.02,0.50037037
PF/C,Dwight Powell (11606121),Dwight Powell,11606121,PF/C/F/UTIL,3400,OKC@DAL 11/10/2018 09:00PM ET,DAL,17,0.5
PG/SG,Bryn Forbes (11605960),Bryn Forbes,11605960,PG/SG/G/UTIL,4200,HOU@SA 11/10/2018 08:30PM ET,SA,20.98,0.49952381
SF/PF,Jeff Green (11606029),Jeff Green,11606029,SF/PF/F/UTIL,3800,WAS@MIA 11/10/2018 08:00PM ET,WAS,18.89,0.497105263
PG/SG,Stephen Curry (11605611),Stephen Curry,11605611,PG/SG/G/UTIL,9800,BKN@GS 11/10/2018 08:30PM ET,GS,48.62,0.496122449
SF/PF,Harrison Barnes (11605790),Harrison Barnes,11605790,SF/PF/F/UTIL,5300,OKC@DAL 11/10/2018 09:00PM ET,DAL,26.29,0.496037736
C,Tristan Thompson (11605786),Tristan Thompson,11605786,C/UTIL,5300,CLE@CHI 11/10/2018 08:00PM ET,CLE,26.27,0.495660377
SG/SF,Justin Holiday (11605822),Justin Holiday,11605822,SG/SF/F/G/UTIL,5100,CLE@CHI 11/10/2018 08:00PM ET,CHI,25.27,0.495490196
PG,John Wall (11605633),John Wall,11605633,PG/G/UTIL,8800,WAS@MIA 11/10/2018 08:00PM ET,WAS,43.46,0.493863636
PG,Luka Doncic (11605672),Luka Doncic,11605672,PG/G/UTIL,7300,OKC@DAL 11/10/2018 09:00PM ET,DAL,36.04,0.49369863
PG,Goran Dragic (11605709),Goran Dragic,11605709,PG/G/UTIL,6500,WAS@MIA 11/10/2018 08:00PM ET,MIA,32.09,0.493692308
SF/PF,Kyle Kuzma (11605743),Kyle Kuzma,11605743,SF/PF/F/UTIL,6000,LAL@SAC 11/10/2018 10:00PM ET,LAL,29.61,0.4935
SF/PF,Trevor Ariza (11605814),Trevor Ariza,11605814,SF/PF/F/UTIL,5200,PHO@NO 11/10/2018 07:00PM ET,PHO,25.61,0.4925
SF/PF,LeBron James (11605598),LeBron James,11605598,SF/PF/F/UTIL,10900,LAL@SAC 11/10/2018 10:00PM ET,LAL,53.34,0.489357798
PG/SG,Markelle Fultz (11605908),Markelle Fultz,11605908,PG/SG/G/UTIL,4400,PHI@MEM 11/10/2018 08:00PM ET,PHI,21.52,0.489090909
SF/PF,Nemanja Bjelica (11605739),Nemanja Bjelica,11605739,SF/PF/F/UTIL,6000,LAL@SAC 11/10/2018 10:00PM ET,SAC,29.27,0.487833333
SG/SF,Buddy Hield (11605696),Buddy Hield,11605696,SG/SF/F/G/UTIL,6900,LAL@SAC 11/10/2018 10:00PM ET,SAC,33.58,0.486666667
PG,Mike Conley (11605701),Mike Conley,11605701,PG/G/UTIL,6700,PHI@MEM 11/10/2018 08:00PM ET,MEM,32.6,0.486567164
C,Wendell Carter Jr. (11605714),Wendell Carter Jr.,11605714,C/UTIL,6300,CLE@CHI 11/10/2018 08:00PM ET,CHI,30.65,0.486507937
PF/C,Ed Davis (11606018),Ed Davis,11606018,PF/C/F/UTIL,3800,BKN@GS 11/10/2018 08:30PM ET,BKN,18.48,0.486315789
PG,Lonzo Ball (11605850),Lonzo Ball,11605850,PG/G/UTIL,5000,LAL@SAC 11/10/2018 10:00PM ET,LAL,24.3,0.486
PG/SG,Jrue Holiday (11605636),Jrue Holiday,11605636,PG/SG/G/UTIL,8500,PHO@NO 11/10/2018 07:00PM ET,NO,41.27,0.485529412
SF/PF,Carmelo Anthony (11605860),Carmelo Anthony,11605860,SF/PF/F/UTIL,4900,HOU@SA 11/10/2018 08:30PM ET,HOU,23.75,0.484693878
SF/PF,Paul George (11605624),Paul George,11605624,SF/PF/F/UTIL,9200,OKC@DAL 11/10/2018 09:00PM ET,OKC,44.59,0.484673913
C,Kosta Koufos (11606206),Kosta Koufos,11606206,C/UTIL,3200,LAL@SAC 11/10/2018 10:00PM ET,SAC,15.46,0.483125
SG/SF,Rodney McGruder (11605734),Rodney McGruder,11605734,SG/SF/F/G/UTIL,6000,WAS@MIA 11/10/2018 08:00PM ET,MIA,28.8,0.48
SF/PF,T.J. Warren (11605836),T.J. Warren,11605836,SF/PF/F/UTIL,5100,PHO@NO 11/10/2018 07:00PM ET,PHO,24.48,0.48
PF,Jaren Jackson Jr. (11605806),Jaren Jackson Jr.,11605806,PF/F/UTIL,5200,PHI@MEM 11/10/2018 08:00PM ET,MEM,24.95,0.479807692
